pos,titel,artiest,jaar,Datum,datum2
853,Everglow,Coldplay,2015,29-12-16 0:36,41271
852,Vivo Per Lei,Andrea Bocelli,1996,29-12-16 0:41,41271
851,Happy New Year,ABBA,1980,29-12-16 0:45,41271
850,'39,Queen,1975,29-12-16 0:48,41271
849,For Bitter Or Worse,Anouk,2009,29-12-16 0:52,41271
848,How You Remind Me,Nickelback,2001,29-12-16 0:56,41271
847,Heal The World,Michael Jackson,1992,29-12-16 1:08,41271
846,I Gotta Feeling,The Black Eyed Peas,2009,29-12-16 1:12,41271
845,Down Down,Status Quo,1975,29-12-16 1:16,41271
844,Can't Stop Loving You,Phil Collins,2002,29-12-16 1:20,41271
843,Things We Lost In The Fire,Bastille,2013,29-12-16 1:24,41271
842,Scarborough Fair,Simon & Garfunkel,1966,29-12-16 1:27,41271
841,Pak Maar M'n Hand,Nick & Simon,2007,29-12-16 1:31,41271
